PAIS,FORMATO,ZONA,CODIGO_FAMILIA,CATEGORY_NBR,CATEGORY_DESC,MARCA,FINELINE,N_FINELINE,N_MARCA,COST_UNIT,SELL_QTY,TOTAL_SKUS,ITEM_PRIMARIO,DESC_PRIMARIO,VENTAS_PRIMARIO,PRECIO_PRIMARIO,ROTACION_PRIMARIO,N_PRECIOS_DISTINTOS,SKUS_IGUAL_PRECIO,SKUS_DIFERENTE_PRECIO,SKUS_SIN_PRECIO,PCT_ALINEACION,OBSERVACIONES
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0045,6987,BEVERAGES - CARBONATED-D95,KOLA SHALER,BEB COLA REGUL PERSO,1706,14608,706.25,473.0,2,75210916,COLA KOLA SHALER 473ML,0,940.0,,1,2,0,0,100.0,Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0046,6987,BEVERAGES - CARBONATED-D95,FANTA,BEB SABOR REGUL FAMI,1754,2238,1620.7477,2500.0,2,70599685,GASEOSA FANTA NARANJA ORIG  2500ML,21277.0,2020.0,12.0,2,1,1,0,50.0,1/2 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0047,6894,BEVERAGE ALCOHOL - BEER D96,MODELO,CERVEZA LAGER UNIDAD,1025,4259,690.0119,355.0,1,75495152,CERVEZA MODELO ESPECIAL LATA 355ML,31201.0,910.0,56.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0048,6894,BEVERAGE ALCOHOL - BEER D96,ESTRELLA,CERVEZA LAGER UNIDAD,1025,2142,769.53,250.0,1,75297878,CERVEZA ESTRELLA GALICIA 0 TOSTADA250ML,1380.0,780.0,2.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0049,6894,BEVERAGE ALCOHOL - BEER D96,MILLER,CERVEZA PILSENER PAQ,1250,4203,4811.54,2130.0,2,75467465,CERVEZA MILLER LITE 6PCK COOZIE 2130 ML,0,5000.0,,1,2,0,0,100.0,Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0050,6987,BEVERAGES - CARBONATED-D95,COTUBA,BEB SABOR LIGHT FAMI,1750,1464,904.0,2000.0,1,70677268,BEBIDA GUARANA COTUBA ZERO 2000 ML,0,1130.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0051,6987,BEVERAGES - CARBONATED-D95,COCA-COLA,CAJA/ENV PLAST/GASEO,1708,1324,61.02,1.0,1,9509268,CAJA VACIA COCA 9 CAV 2 L RETO S ENV 1EA,0,7000.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0052,6894,BEVERAGE ALCOHOL - BEER D96,KEYSTONE LIGHT,CERVEZA LAGER UNIDAD,1025,231083,468.95,355.0,1,75408278,CERVEZA KEYSTONE LIGHT 355 ML,2695.0,609.0,5.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0053,6894,BEVERAGE ALCOHOL - BEER D96,IMPERIAL,CERVEZA LAGER UNIDAD,1025,3035,643.7045,350.0,3,75306308,IMPERIAL MICHE LIMON 350 ML LT SLEEK,21390.0,780.0,31.0,2,2,1,0,66.66666666666666,1/3 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0054,6987,BEVERAGES - CARBONATED-D95,COCA-COLA,BEB PACK PERSONAL,1760,1324,3312.3803,1896.0,3,70425051,MINI COCA COLA  ZERO LATA 8PK 237 ML,157186.0,4140.0,43.0,3,1,2,0,33.33333333333333,Alta dispersion: 3 precios distintos | 2/3 SKUs desalineados
