PAIS,Formato,ZONA,CODIGO_FAMILIA,DESC_PRIMARIO,SKU_PRIMARIO,PRECIO_PRIMARIO,TAMANO_PRIMARIO,MEDIDA_PRIMARIO,SKU_SECUNDARIO,AGRUPACION,DESC_SECUNDARIO,PRECIO_SECUNDARIO,TAMANO_SECUNDARIO,MEDIDA_SECUNDARIO,FACTOR_DE_CONVERSION,AHORRO_DIFERENCIAL,DIFERENCIA_ABSOLUTA,DIFERENCIA_PCT,EVALUACION,Ventas,Rotaciones,Sell_QTY,CATEGORIA,MARCA
CR,BODEGAS,CARTAGO,9514981,DOS PINOS LECHE EN POLVO PINITO 400GR,9514981,2920.0,400.0,GR,75171033,SECUNDARIO,LECHE POLVO PINITO 3 PACK 1200GR,5840.0,1200.0,GR,3.0,0.66,2920.0,100.0,Mayor al primario - Esperado para pack,3376600.0,586.0,1200.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,SAN JOSE,75053384,ATUN SULI TROCITOS  VEGETALES 4PK 560 GR,75053384,1400.0,560.0,GR,75053385,SECUNDARIO,ATUN SULI TROCITOS VEGETALES 6PK 840 GR,3530.0,840.0,GR,1.5,0.92,2130.0,152.14,Mayor al primario - Esperado para pack,3333639.0,956.0,840.0,SEAFOOD-FISH-D92,SULI
CR,SUPERMERCADOS,SAN JOSE,9003234,MANTEQUILL CON SAL DOS PINOS BARRA 115GR,9003234,1330.0,115.0,GR,9003724,SECUNDARIO,MANTEQUILLA DOS PINOS CON SAL CAJA 460GR,5330.0,460.0,GR,4.0,0.97,4000.0,300.75,Mayor al primario - Esperado para pack,3333222.0,721.0,460.0,BUTTER AND BUTTER SUBSTITUTES D90,DOS PINOS
CR,SUPERMERCADOS,SAN JOSE,70568253,LECHE UHT DELACTOMY 2% 946 ML EDGE,70568253,1170.0,946.0,ML,70568318,SECUNDARIO,LECHE UHT DELACTOMY 2% 946 ML 3 PACK,3410.0,2838.0,ML,3.0,0.97,2240.0,191.45,Mayor al primario - Esperado para pack,3294889.0,977.0,2838.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,PE RURAL NORTE,70055293,MOLIDA ESPECIAL RES MAGRA 85 GRASA 15 KG,70055293,3950.0,1.0,KG,70498829,SECUNDARIO,MOLIDA ESPECIAL 85 MAGRA 15 GRASA 500G,1980.0,500.0,GR,0.5,1.0,-1970.0,-49.87,REVISAR: Precio menor al primario,3233167.0,1990.0,500.0,BEEF -D93,DON CRISTOBAL
CR,DESCUENTO,RURAL NORTE,9216954,ACEITE SOYA SABEMAS BOTE 3000 ML,9216954,3500.0,3000.0,ML,70279560,SECUNDARIO,SABEMAS ACEITE  SOYA 1500 ML,1670.0,1500.0,ML,0.5,1.05,-1830.0,-52.29,REVISAR: Precio menor al primario,3121142.0,1894.0,1500.0,OILS & FATS-D92,SABEMAS
CR,DESCUENTO,LIMON,9514981,DOS PINOS LECHE EN POLVO PINITO 400GR,9514981,3050.0,400.0,GR,75171033,SECUNDARIO,LECHE POLVO PINITO 3 PACK 1200GR,5940.0,1200.0,GR,3.0,0.66,2890.0,94.75,Mayor al primario - Esperado para pack,3110244.0,530.0,1200.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,PACIFICO SUR,75260390,LECHE SULI SEMIDESCREMADA UHT 1000ML,75260390,750.0,1000.0,ML,75260389,SECUNDARIO,LECHE SULI SEMIDESCREMADA UHT 3000ML 3PK,2250.0,3000.0,ML,3.0,0.96,1500.0,200.0,Mayor al primario - Esperado para pack,3103917.0,1396.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,SULI
CR,BODEGAS,RURAL NORTE,75053378,ATUN SULI TROCITOS EN ACEITE 140 GR,75053378,470.0,140.0,GR,75068000,SECUNDARIO,ATÚN SULI TROCITOS EN ACEITE 6PK 840GR,2940.0,840.0,GR,6.0,0.83,2470.0,525.53,Mayor al primario - Esperado para pack,3075058.0,1061.0,840.0,SEAFOOD-FISH-D92,SULI
CR,DESCUENTO,SAN JOSE,75088630,ACEITE SULI VEGETAL 500 ML,75088630,400.0,500.0,ML,75313695,SECUNDARIO,ACEITE SULI VEGETAL 3000ML,3020.0,3000.0,ML,5.99999999999999,0.909090909090909,2620.0,655.0,Mayor al primario - Esperado para pack,3074842.0,1031.0,3000.0,OILS & FATS-D92,SULI
CR,WALMART,SAN JOSE,70568344,LECHE DOS PINOS DELACTOMY 946 ML EDGE,70568344,1270.0,946.0,ML,70050503,SECUNDARIO,LECHE DOS PINOS DELACTOMY 946 ML 2PACK,1920.0,1892.0,ML,2.0,0.75,650.0,51.18,Mayor al primario - Esperado para pack,3069691.0,1621.0,1892.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
